AÑO;SEMESTRE;NUM_MES;MES;SEM_AÑO;L-A_PAX_MOV;L-B_PAX_MOV;L-K_PAX_MOV;L-J_PAX_MOV;L-H_PAX_MOV;L-M_PAX_MOV;L-L_PAX_MOV;L-TA_PAX_MOV;L-1_PAX_MOV;L-2_PAX_MOV;C-3_PAX_MOV;C6_PAX_MOV;LÍNEA_O;AÑO-MES;ORDEN
2017;2;7;julio;2017-sem II;630.044;97.827;21.393;15.085;2.080;"";2.481;33.285;114.069;15.027;37.154;67.054;"";2017-jul;23
2017;2;8;agosto;2017-sem II;675.109;105.363;21.991;15.442;2.167;"";2.129;38.820;125.336;15.716;39.896;71.188;"";2017-ago;24
2017;2;9;septiembre;2017-sem II;674.142;103.770;21.787;15.642;2.154;"";1.450;38.981;123.700;15.667;39.031;71.468;"";2017-sep;25
2017;2;10;octubre;2017-sem II;680.021;104.811;21.917;15.666;2.202;"";1.592;39.693;123.276;15.526;39.504;70.853;"";2017-oct;26
2017;2;11;noviembre;2017-sem II;689.117;104.753;22.392;15.890;2.193;"";1.592;40.519;122.865;15.729;39.221;70.121;"";2017-nov;27
2017;2;12;diciembre;2017-sem II;683.608;98.909;24.454;16.068;2.247;"";3.210;38.003;113.075;14.952;35.211;62.636;"";2017-dic;28
2018;1;1;enero;2018-sem I;602.633;89.797;22.211;14.522;1.995;"";3.956;35.924;105.286;14.053;33.655;62.102;"";2018-ene;29
2018;1;2;febrero;2018-sem I;665.484;105.108;22.084;15.784;2.127;"";1.722;43.656;125.993;16.109;39.946;71.813;"";2018-feb;30
2018;1;3;marzo;2018-sem I;688.282;106.125;22.571;16.176;2.262;"";1.656;44.803;126.954;16.433;40.909;73.930;"";2018-mar;31
2018;1;4;abril;2018-sem I;683.015;104.839;21.795;18.815;2.206;"";1.313;44.953;125.452;15.857;40.385;74.745;"";2018-abr;32
2018;1;5;mayo;2018-sem I;664.050;102.882;21.712;15.619;2.204;"";1.326;45.630;124.473;16.306;39.910;75.438;"";2018-may;33
2018;1;6;junio;2018-sem I;654.273;96.756;22.820;15.638;2.175;"";2.661;41.739;114.843;15.495;36.799;72.893;"";2018-jun;34
2018;2;7;julio;2018-sem II;657.819;98.496;21.939;15.350;2.208;"";2.211;41.732;116.379;15.626;38.043;77.040;"";2018-jul;35
2018;2;8;agosto;2018-sem II;709.736;107.987;23.028;15.985;2.249;"";2.464;48.910;126.549;16.591;40.691;81.696;"";2018-ago;36
2018;2;9;septiembre;2018-sem II;702.628;105.323;22.691;15.951;2.283;"";1.556;49.068;125.251;16.450;40.368;83.585;"";2018-sep;37
2018;2;10;octubre;2018-sem II;702.383;105.709;22.329;15.793;2.306;"";1.564;49.024;124.749;16.314;39.799;83.475;"";2018-oct;38
2018;2;11;noviembre;2018-sem II;712.132;106.773;22.789;15.823;2.298;"";1.562;48.588;123.618;16.112;39.195;83.159;"";2018-nov;39
2018;2;12;diciembre;2018-sem II;689.456;97.422;24.058;16.177;2.310;"";3.380;42.672;111.275;15.008;34.615;72.432;"";2018-dic;40
2019;1;1;enero;2019-sem I;637.483;92.968;22.716;14.895;2.184;"";3.570;41.422;107.846;14.845;36.171;73.118;"";2019-ene;41
2019;1;2;febrero;2019-sem I;717.452;108.888;22.536;15.893;2.334;563;1.804;51.068;125.127;16.468;42.375;84.515;"";2019-feb;42
2019;1;3;marzo;2019-sem I;738.096;111.072;23.167;16.545;2.404;5.161;1.584;57.003;128.168;17.210;44.660;86.933;"";2019-mar;43
2019;1;4;abril;2019-sem I;710.330;105.696;23.134;15.902;2.335;5.909;1.862;54.792;121.068;16.606;41.797;84.721;"";2019-abr;44
2019;1;5;mayo;2019-sem I;716.348;105.892;23.001;15.787;2.391;6.412;1.348;56.121;121.825;16.552;41.863;86.665;"";2019-may;45
2019;1;6;junio;2019-sem I;711.174;102.145;22.740;16.179;2.350;6.853;1.897;52.069;117.019;16.188;39.432;89.210;"";2019-jun;46
2019;2;7;julio;2019-sem II;717.998;103.816;23.170;16.374;2.407;7.221;2.359;53.879;118.754;15.853;41.597;84.936;"";2019-jul;47
2019;2;8;agosto;2019-sem II;752.008;112.064;23.488;16.936;2.468;7.575;2.483;60.996;126.864;16.935;43.553;88.553;"";2019-ago;48
2019;2;9;septiembre;2019-sem II;749.116;109.374;23.122;16.508;2.478;7.686;1.449;59.992;125.218;15.985;43.472;89.433;"";2019-sep;49
2019;2;10;octubre;2019-sem II;761.433;111.988;23.788;16.735;2.530;8.084;1.792;59.953;123.402;15.697;43.204;89.908;"";2019-oct;50
2019;2;11;noviembre;2019-sem II;760.688;109.133;23.469;16.765;2.452;7.351;1.482;55.729;121.273;15.060;42.359;87.741;"";2019-nov;51
2019;2;12;diciembre;2019-sem II;738.523;101.296;25.740;17.218;2.509;7.759;2.956;51.581;112.979;14.420;38.131;76.580;3.920;2019-dic;52
2020;1;1;enero;2020-sem I;675.755;96.763;23.534;15.985;2.279;7.637;3.035;50.045;109.340;14.400;38.345;77.411;6.314;2020-ene;53
2020;1;2;febrero;2020-sem I;756.760;111.424;23.513;16.769;2.482;8.517;1.523;61.387;125.525;16.023;44.511;89.717;10.461;2020-feb;54
2020;1;3;marzo;2020-sem I;512.580;74.262;16.965;12.327;1.890;6.470;1.344;42.482;88.834;11.472;32.884;67.150;8.621;2020-mar;55
2020;1;4;abril;2020-sem I;105.540;14.355;5.209;3.473;488;1.897;"";10.026;21.736;3.018;8.426;20.201;2.265;2020-abr;56
2020;1;5;mayo;2020-sem I;179.425;24.523;7.147;5.514;805;3.136;"";15.279;34.413;5.091;14.143;34.635;3.576;2020-may;57
2020;1;6;junio;2020-sem I;238.457;34.161;8.889;6.778;1.050;3.992;"";20.012;43.422;7.168;18.527;42.491;4.575;2020-jun;58
2020;2;7;julio;2020-sem II;226.309;32.288;8.386;6.131;969;3.756;"";18.710;40.993;6.401;17.280;40.830;4.315;2020-jul;59
2020;2;8;agosto;2020-sem II;250.993;35.627;9.056;6.436;1.040;4.074;"";20.509;45.366;7.338;19.048;44.721;4.795;2020-ago;60
2020;2;9;septiembre;2020-sem II;334.045;47.432;12.803;8.931;1.345;4.918;343;24.594;55.969;7.556;22.210;51.877;5.729;2020-sep;61
2020;2;10;octubre;2020-sem II;387.522;54.428;14.024;9.693;1.499;5.946;535;27.986;64.107;8.634;24.748;58.882;6.392;2020-oct;62
2020;2;11;noviembre;2020-sem II;429.862;60.660;13.093;9.972;1.583;5.981;429;32.891;70.133;8.999;26.605;66.471;6.785;2020-nov;63
2020;2;12;diciembre;2020-sem II;455.897;62.665;15.938;11.139;1.732;6.639;822;35.252;73.749;9.799;27.622;59.282;6.804;2020-dic;64
2021;1;1;enero;2020-sem I;419.683;58.741;16.611;10.848;1.593;6.323;1.075;32.689;70.030;9.336;26.220;57.642;6.889;2021-ene;65
2021;1;2;febrero;2020-sem I;457.307;64.937;17.676;12.014;1.772;7.016;611;36.482;76.467;10.101;28.355;62.449;7.666;2021-feb;66
2021;1;3;marzo;2020-sem I;455.124;67.653;16.893;11.908;1.842;7.196;619;37.929;80.519;10.464;29.383;63.449;8.233;2021-mar;67
2021;1;4;abril;2020-sem I;359.923;52.421;14.711;10.158;1.541;5.948;349;28.259;64.844;7.904;24.120;53.017;6.678;2021-abr;68
2021;1;5;mayo;2020-sem I;447.027;65.595;18.172;11.750;1.355;4.909;455;23.397;63.347;7.019;25.224;56.884;6.342;2021-may;69
2021;1;6;junio;2020-sem I;438.920;65.260;16.410;10.780;1.465;5.384;712;27.828;69.207;7.234;28.404;66.053;7.369;2021-jun;70
2021;2;7;julio;2020-sem II;482.107;71.146;19.068;12.350;1.873;7.127;1.088;37.969;82.192;2.207;30.986;65.037;8.922;2021-jul;71
